id,channel_sales,cons_12m,cons_gas_12m,cons_last_month,date_activ,date_end,date_modif_prod,date_renewal,forecast_cons_12m,forecast_cons_year,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_energy_peak,forecast_price_pow_off_peak,has_gas,imp_cons,margin_gross_pow_ele,margin_net_pow_ele,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max,var_year_price_off_peak_var,var_year_price_peak_var,var_year_price_mid_peak_var,var_year_price_off_peak_fix,var_year_price_peak_fix,var_year_price_mid_peak_fix,var_year_price_off_peak,var_year_price_peak,var_year_price_mid_peak,var_6m_price_off_peak_var,var_6m_price_peak_var,var_6m_price_mid_peak_var,var_6m_price_off_peak_fix,var_6m_price_peak_fix,var_6m_price_mid_peak_fix,var_6m_price_off_peak,var_6m_price_peak,var_6m_price_mid_peak,churn
b96aa3a8655203318c6b853dbdb0ceb7,foosdfpfkusacimwkcsosbicdxkicaua,88178,0,6094,1/15/2010,2/14/2016,9/14/2013,2/16/2015,9070.33,6094,0,145.41,0.115744,0.098858,40.606701,f,611.08,32.88,32.88,1,719.37,6,lxidpiddsbxsbosboudacockeimpuepw,33,1.581488208333324e-05,3.957494204545454e-06,1.8662810606060787e-06,0.004021438,0.001447718,0.00064343,0.004037253,0.001451675,0.000645296,1.1100320166666669e-05,2.89676016666666e-06,4.860000000000553e-10,0,0,0,1.1100320166666669e-05,2.89676016666666e-06,4.860000000000553e-10,1
54a77b7ec412ca7133750d2cb2a24096,ewpakwlliwisiwduibdlfmalxowmwpci,22333,0,2237,11/17/2010,11/17/2016,5/24/2015,11/18/2015,2377.86,2237,0,143.04,0.1152369999999999,0.100123,40.606701,f,226.86,9.93,9.93,1,234.39,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,52.5,2.0256293901515172e-05,5.133817356060805e-06,1.42935151515153e-07,0,0,0,2.0256293901515172e-05,5.133817356060805e-06,1.42935151515153e-07,1.1891369500000011e-05,2.7844327000001135e-06,1.8604106666666445e-07,0,0,0,1.1891369500000011e-05,2.7844327000001135e-06,1.8604106666666445e-07,0
0f7487e3c557be9c77570e11ce572454,foosdfpfkusacimwkcsosbicdxkicaua,31653,0,124,3/5/2011,3/5/2016,3/5/2011,3/6/2015,82.03,124,0,129.6,0.120372,0.103487,40.606701,f,12.19,108.9,108.9,1,10.32,5,lxidpiddsbxsbosboudacockeimpuepw,48,1.5457422424242437e-05,3.7207544469697068e-06,1.7770272954544877e-06,0.005428942,0.001954419,0.000868631,0.005444399,0.00195814,0.000870408,1.1100320166666622e-05,2.896760166666666e-06,4.859999999979745e-10,0,0,0,1.1100320166666622e-05,2.896760166666666e-06,4.859999999979745e-10,0
17e84c1bc19211777dfbb1cca8af94fc,foosdfpfkusacimwkcsosbicdxkicaua,463646,0,40551,6/22/2013,10/9/2016,10/9/2013,10/11/2015,2858.82,0,0,117.54,0.1152369999999999,0.100123,40.606701,f,0,11.04,11.04,1,372.55,3,lxidpiddsbxsbosboudacockeimpuepw,33,1.4954563787878832e-05,2.4919993560606203e-06,1.8944723863636302e-06,0.005428835,0.001954466,0.000868699,0.00544379,0.001956958,0.000870593,9.624758666666688e-06,2.943237766666682e-06,2.822335499999971e-06,0.007962096,0.002866636,0.001274217,0.007971721,0.002869579,0.001277039,0
b664719a6cbb1966d9987c3f6ec6d209,foosdfpfkusacimwkcsosbicdxkicaua,10602,0,951,3/13/2012,3/13/2016,3/13/2012,3/16/2015,1122.03,951,0,129.61,0.120372,0.103487,40.606701,f,98.66,36.22,36.22,1,137.56,4,lxidpiddsbxsbosboudacockeimpuepw,20,1.5457422424242437e-05,3.7207544469697068e-06,1.7770272954544877e-06,0.005428942,0.001954419,0.000868631,0.005444399,0.00195814,0.000870408,1.1100320166666622e-05,2.896760166666666e-06,4.859999999979745e-10,0,0,0,1.1100320166666622e-05,2.896760166666666e-06,4.859999999979745e-10,0
d8e589d515b7c905bb73eece1d8781d8,foosdfpfkusacimwkcsosbicdxkicaua,21553,0,0,4/9/2013,4/9/2016,4/9/2013,4/12/2015,3213.49,0,0,16.09,0.144149,0,44.31137796,f,0,19.28,19.28,1,301.91,3,lxidpiddsbxsbosboudacockeimpuepw,10.392,4.117320696969648e-06,0,0,0.007661891,0,0,0.007666009,0,0,3.318240666666697e-06,0,0,0,0,0,3.318240666666697e-06,0,0,1
a20ef5d293e20e3d9e9f60cf2be3ce63,MISSING,348859,0,53135,12/20/2010,12/20/2016,12/20/2010,12/21/2015,2767.31,2368,0,142.63,0.1165089999999999,0.101397,40.606701,f,218.34,4.46,4.46,1,364.43,5,ldkssxwpmemidmecebumciepifcamkci,100,1.7659600265151483e-05,4.608482083333329e-06,7.731818181818558e-10,3.4363636433613883e-12,1.848000001321932e-12,8.797090905166813e-12,1.7659603701515127e-05,4.608483931333331e-06,7.819789090870227e-10,1.1100320166666622e-05,2.8967601666666442e-06,4.860000000000553e-10,0,0,0,1.1100320166666622e-05,2.8967601666666442e-06,4.860000000000553e-10,0
413f4bf21686876dd0d9a2bf0cc5ba1f,foosdfpfkusacimwkcsosbicdxkicaua,7314,0,1542,5/28/2012,5/28/2016,5/28/2012,5/29/2015,1094.82,1542,0,18.32,0.1457109999999999,0,44.31137796,f,226.96,27.69,27.69,1,111.5,4,lxidpiddsbxsbosboudacockeimpuepw,15,4.2324387500000446e-06,0,0,0.008380194,0,0,0.008384426,0,0,3.3182406666666172e-06,0,0,0,0,0,3.3182406666666172e-06,0,0,0
3bd97d79feb083b315baa9545c76c84d,foosdfpfkusacimwkcsosbicdxkicaua,1129316,0,79977,12/17/2011,12/17/2016,12/17/2011,12/20/2015,1346.17,1174,0,129.24,0.1165089999999999,0.101397,40.606701,f,117.71,2.46,2.46,1,172.91,4,lxidpiddsbxsbosboudacockeimpuepw,19.72,1.7659600265151073e-05,4.608482083333368e-06,7.731818181818558e-10,3.4363636433613883e-12,1.848000001321932e-12,8.797090905166813e-12,1.7659603701514717e-05,4.6084839313333696e-06,7.819789090870227e-10,1.1100320166666352e-05,2.896760166666666e-06,4.860000000000553e-10,0,0,0,1.1100320166666352e-05,2.896760166666666e-06,4.860000000000553e-10,1
cb5171895e4a15e2c72cbbd7cf054cbf,foosdfpfkusacimwkcsosbicdxkicaua,11399,0,1105,5/26/2011,4/1/2016,4/1/2014,4/2/2015,2158.81,1105,24,14.44,0.186188,0,45.80687796,f,206.39,37.56,37.56,1,864.94,5,lxidpiddsbxsbosboudacockeimpuepw,12.5,4.8680592424242265e-06,0,0,3.8181818111259284e-13,0,0,4.868059624242407e-06,0,0,3.3182406666666172e-06,0,0,0,0,0,3.3182406666666172e-06,0,0,0
